ふりがな,名称,所在地又は代表地番,latitude,longitude,公園種別
みずほりょくち,瑞穂緑地,緑ケ丘、瑞ケ丘、瑞穂町,34.790543,135.400593,都市緑地
にしくわづりょくち,西桑津緑地,桑津2丁目,34.785856,135.431669,都市緑地
てんのうじがわりょくち,天王寺川緑地,中野西、鴻池,34.787522,135.384151,都市緑地
てんじんがわりょくち,天神川緑地,荻野、鴻池、瑞原、中野東、荒牧,34.806653,135.388625,都市緑地
あらまきしものいけりょくち,荒牧下ノ池緑地,荒牧5丁目2,34.80932,135.381769,都市緑地
こやでらまえりょくち,昆陽寺前緑地,寺本2丁目170,34.775962,135.387879,都市緑地
にしのりょくち,西野緑地,西野6丁目336,34.790359,135.373641,都市緑地
こやがわあやめひろばりょくち,昆陽川あやめ広場緑地,池尻2丁目230-1,34.781544,135.381204,都市緑地
にしのひがしりょくち,西野東緑地,西野3丁目225,34.791585,135.376757,都市緑地
みやのまえりょくち,宮ノ前緑地,宮ノ前1丁目105,34.782072,135.414912,都市緑地
しばのこまつばらりょくち,芝ノ小松原緑地,西野6丁目268,34.791004,135.372733,都市緑地
ごがづかこふんしせきこうえん,御願塚古墳史跡公園,御願塚4丁目326-9,34.766222,135.414354,都市緑地
しもがわらぽけっとぱーく,下河原ポケットパーク,下河原1丁目303-8,34.799912,135.425484,都市緑地
あまつりょくち,天津緑地,藤ノ木1丁目238-14,34.779771,135.425661,都市緑地
にしいけ・くろいけりょくち,西池・黒池緑地,鴻池６丁目395-1の一部,34.80039,135.383583,都市緑地
いたみすぽーつせんたー,伊丹スポーツセンター,鴻池１丁目１番１号,34.795979,135.393851,運動公園
おくはたりょくち,奥畑緑地,奥畑3丁目46,34.783741,135.38718,都市緑地
おおさかこくさいくうこうしゅうへんりょくち（いたみすかいぱーく）,大阪国際空港周辺緑地(伊丹スカイパーク),森本7丁目1-1他,34.779138,135.440761,緩衝緑地
あんどうじちょうじどうゆうえんち,安堂寺町児童遊園地,安堂寺町4丁目49、59,34.762285,135.408375,児童遊園地
あずきりょうじどうゆうえんち,小豆領児童遊園地,鈴原町9丁目631、632,34.773271,135.405503,児童遊園地
いけじり（Ⅰ）じどうゆうえんち,池尻（Ⅰ）児童遊園地,池尻1丁目393,34.77747,135.381621,児童遊園地
いけじり（Ⅱ）じどうゆうえんち,池尻（Ⅱ）児童遊園地,池尻3丁目46､47,34.781371,135.383867,児童遊園地
いわやじどうゆうえんち,岩屋児童遊園地,岩屋1丁目356,34.775675,135.440466,児童遊園地
かしわぎちょうじどうゆうえんち,柏木町児童遊園地,柏木町1丁目79、100,34.759215,135.414192,児童遊園地
かすがおか（Ⅱ）じどうゆうえんち,春日丘（Ⅱ）児童遊園地,春日丘1丁目23、24,34.787333,135.41386,児童遊園地
きたぞのじどうゆうえんち,北園児童遊園地,北園1丁目337,34.794739,135.411816,児童遊園地
きたがわら（Ⅱ）じどうゆうえんち,北河原（Ⅱ）児童遊園地,"北河原1丁目86,81,80",34.786698,135.421323,児童遊園地
